,architecture,model_type,embeddings,hidden,num_layers,dropouts,bidirectional,learning_rate,epochs,dev_acc,dev_prec,dev_recall,metric
83,27,RNN,Law2Vec,0.6666666666666666,2,0.5,True,0.0001,10,0.288135593220339,0.14583333333333334,0.875,recall
84,28,RNN,Law2Vec,0.6666666666666666,2,0.75,False,0.01,10,0.864406779661017,,0.0,accuracy
85,28,RNN,Law2Vec,0.6666666666666666,2,0.75,False,0.01,10,0.13559322033898305,0.13559322033898305,1.0,precision
86,28,RNN,Law2Vec,0.6666666666666666,2,0.75,False,0.01,10,0.13559322033898305,0.13559322033898305,1.0,recall
87,29,RNN,Law2Vec,0.6666666666666666,2,0.75,False,0.0001,10,0.2033898305084746,0.14545454545454545,1.0,accuracy
88,29,RNN,Law2Vec,0.6666666666666666,2,0.75,False,0.0001,10,0.2033898305084746,0.14545454545454545,1.0,precision
89,29,RNN,Law2Vec,0.6666666666666666,2,0.75,False,0.0001,10,0.2033898305084746,0.14545454545454545,1.0,recall
90,30,RNN,Law2Vec,0.6666666666666666,2,0.75,True,0.01,10,0.864406779661017,,0.0,accuracy
91,30,RNN,Law2Vec,0.6666666666666666,2,0.75,True,0.01,10,0.7457627118644068,0.26666666666666666,0.5,precision
92,30,RNN,Law2Vec,0.6666666666666666,2,0.75,True,0.01,10,0.13559322033898305,0.13559322033898305,1.0,recall
93,31,RNN,Law2Vec,0.6666666666666666,2,0.75,True,0.0001,10,0.864406779661017,,0.0,accuracy
94,31,RNN,Law2Vec,0.6666666666666666,2,0.75,True,0.0001,10,0.864406779661017,,0.0,precision
95,31,RNN,Law2Vec,0.6666666666666666,2,0.75,True,0.0001,10,0.864406779661017,,0.0,recall
96,32,LSTM,Law2Vec,0.3333333333333333,1,0.5,False,0.01,10,0.864406779661017,0.5,0.125,accuracy
97,32,LSTM,Law2Vec,0.3333333333333333,1,0.5,False,0.01,10,0.864406779661017,0.5,0.125,precision
98,32,LSTM,Law2Vec,0.3333333333333333,1,0.5,False,0.01,10,0.13559322033898305,0.13559322033898305,1.0,recall
99,33,LSTM,Law2Vec,0.3333333333333333,1,0.5,False,0.0001,10,0.864406779661017,,0.0,accuracy
100,33,LSTM,Law2Vec,0.3333333333333333,1,0.5,False,0.0001,10,0.864406779661017,,0.0,precision
